Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-07-03,96.0998,96.4334,94.254,95.48,544358.47961788
2019-07-04,95.337,95.6707,94.0652,94.7745,307820.70415342
2019-07-05,94.5381,94.5381,91.9477,92.7981,478777.43000827
2019-07-08,92.6475,94.4246,92.5713,93.5923,340278.19978095
2019-07-09,93.5923,93.5923,89.9437,90.6053,773865.40602627
2019-07-10,91.1346,92.3824,90.4729,90.9457,752274.62623061
2019-07-11,91.9096,92.8745,90.0382,90.2832,547206.27242517
2019-07-12,90.7942,91.6827,89.5272,89.5272,528254.55218868
2019-07-15,90.2078,91.4177,89.9247,90.0573,590094.13699402
2019-07-16,90.4348,91.0402,89.735,90.3966,444977.32856368
2019-07-17,90.1135,90.3023,88.6768,88.9227,770952.58074972
2019-07-18,88.8656,90.4157,88.1095,90.2832,1106672.2142174
2019-07-19,92.2118,92.8172,91.229,91.9477,908912.67082863
2019-07-22,92.004,92.3443,91.3233,91.3614,366030.00869872
2019-07-23,92.1747,92.6094,90.6998,91.3614,532786.89573206
2019-07-24,91.6827,91.777,90.9457,91.4368,332547.72722488
2019-07-25,91.7962,93.4598,91.3805,92.1747,555910.13419861
2019-07-26,91.6446,92.5341,90.9457,91.229,387526.38652287
2019-07-29,91.3805,91.8716,90.4157,91.3043,307067.58620291
2019-07-30,91.3043,91.5693,89.225,89.225,385442.20077403
2019-07-31,89.225,89.735,88.5633,89.244,558458.98742944
2019-08-01,89.1115,89.1115,85.3676,86.3695,745230.1413342
2019-08-02,85.0845,85.6136,82.7392,82.9851,1202743.0028039
2019-08-05,82.2101,82.2482,79.431,79.431,1100159.5270939
2019-08-06,79.9792,80.9812,79.0335,79.1468,750612.10262119
2019-08-07,79.4682,79.8085,77.8045,78.9199,605447.04429431
2019-08-08,80.9239,81.3024,78.8446,79.431,889842.42367234
2019-08-09,79.8085,80.1488,77.5214,77.7664,442810.27886208
2019-08-12,78.8256,78.8256,74.9683,74.9683,661595.23912825
2019-08-13,74.6851,78.3718,74.3066,78.3528,854775.2379879
2019-08-14,79.1468,79.1468,74.9492,74.9492,646408.0597335
